Reported_Epoch,Loss_DV,Loss_DS,Loss_adv_vocal,Loss_adv_speech,Loss_Cycle_Vocal,Loss_Cycle_Speech,Loss_Identity_Vocal,Loss_Identity_Speech,Grad_Norm_DV,Grad_Norm_DS,Grad_Norm_GV,Grad_Norm_GS,num_DV_updates,num_DS_updates,Global_Epoch
32,0.6059,0.5965,0.1375,0.1322,3.0405,3.206,5.4457,6.3334,1.2807,0.0,0.007,0.0067,3.0,0.0,82
33,0.7416,0.5975,0.0774,0.1319,2.9493,3.1449,5.4272,6.3153,0.3231,0.0,0.0066,0.0064,16.0,0.0,83
34,0.6256,0.5968,0.1406,0.1318,2.99,3.1584,5.4682,6.3016,0.2915,0.0,0.0072,0.007,10.0,0.0,84
35,0.67,0.5969,0.0996,0.132,2.9986,3.149,5.4806,6.2847,0.2843,0.0,0.007,0.0067,13.0,0.0,85
36,0.6348,0.5982,0.1102,0.1317,2.9878,3.1345,5.4924,6.2924,0.2622,0.0,0.0069,0.0067,12.0,0.0,86
37,0.5984,0.5972,0.1295,0.1323,2.9725,3.1018,5.5121,6.2837,0.0,0.0,0.0067,0.0063,0.0,0.0,87
38,0.5986,0.5976,0.1295,0.132,2.9642,3.0804,5.5256,6.2754,0.0,0.0,0.0065,0.0061,0.0,0.0,88
39,0.6014,0.5964,0.1279,0.1322,2.8623,3.0188,5.4818,6.2524,1.7915,0.0,0.0061,0.0057,2.0,0.0,89
40,0.7385,0.5985,0.0742,0.1315,2.8647,3.0416,5.4658,6.2546,0.3722,0.0,0.0068,0.0066,15.0,0.0,90
41,0.6249,0.5975,0.1332,0.1316,2.857,3.0205,5.4853,6.2389,0.2786,0.0,0.0063,0.006,10.0,0.0,91
42,0.657,0.5982,0.1044,0.1316,2.9166,3.0331,5.5038,6.251,0.2619,0.0,0.0073,0.007,13.0,0.0,92
43,0.6362,0.5982,0.107,0.1315,2.8805,3.0251,5.4924,6.2135,0.2314,3.2936,0.0071,0.0068,13.0,1.0,93
44,0.5859,0.6734,0.1353,0.0967,2.8655,2.9959,5.4953,6.2253,0.0,0.4992,0.0067,0.0064,0.0,10.0,94
45,0.5866,0.6792,0.1349,0.0954,2.8604,2.9753,5.5201,6.2251,0.0,0.1844,0.0068,0.0064,0.0,16.0,95
46,0.5863,0.5899,0.1346,0.1384,2.8352,2.9366,5.5312,6.2352,0.0,0.0,0.0061,0.0055,0.0,0.0,96
47,0.5871,0.5901,0.1347,0.1384,2.8175,2.944,5.5303,6.2225,0.0,0.0,0.0066,0.0063,0.0,0.0,97
48,0.5876,0.5905,0.1343,0.1383,2.769,2.9249,5.5112,6.2156,0.0,0.0,0.0067,0.0065,0.0,0.0,98
49,0.5871,0.5911,0.134,0.1378,2.7227,2.9009,5.4917,6.2066,0.0,0.0,0.0074,0.0074,0.0,0.0,99
50,0.5876,0.5917,0.1342,0.1377,2.7255,2.8968,5.4902,6.2023,0.0,0.0,0.0084,0.0084,0.0,0.0,100
1,0.5875,0.591,0.134,0.1379,2.6996,2.8748,5.4815,6.1884,0.0,0.0,0.008,0.008,0.0,0.0,101
2,0.5884,0.5914,0.1338,0.1381,2.6919,2.8801,5.4938,6.2027,0.0,0.0,0.0067,0.0064,0.0,0.0,102
3,0.5884,0.5914,0.1346,0.1381,2.7035,2.872,5.4952,6.2012,0.0,0.0,0.0073,0.0072,0.0,0.0,103
4,0.5872,0.5912,0.134,0.1373,2.6981,2.8633,5.4977,6.1972,0.0,0.0,0.0072,0.007,0.0,0.0,104
5,0.5886,0.5916,0.1334,0.1378,2.6376,2.8294,5.4579,6.172,0.0,0.0,0.0074,0.0073,0.0,0.0,105
6,0.5894,0.5916,0.1335,0.1376,2.6207,2.7931,5.46,6.1874,0.0,0.0,0.0065,0.0061,0.0,0.0,106
7,0.5897,0.5927,0.1335,0.1377,2.6732,2.8201,5.5146,6.1814,0.0,0.0,0.0071,0.0069,0.0,0.0,107
8,0.589,0.5923,0.1334,0.1376,2.6151,2.8149,5.4951,6.1818,0.0,0.0,0.0064,0.0061,0.0,0.0,108
9,0.5896,0.592,0.1335,0.1374,2.6206,2.8066,5.5019,6.1624,0.0,0.0,0.0067,0.0065,0.0,0.0,109
10,0.5901,0.5928,0.1325,0.1376,2.6363,2.7966,5.5152,6.1398,0.0,0.0,0.007,0.0067,0.0,0.0,110
11,0.5906,0.5922,0.1327,0.1374,2.5957,2.7899,5.5085,6.1403,0.0,0.0,0.007,0.0067,0.0,0.0,111
12,0.5902,0.5928,0.1325,0.137,2.6237,2.7817,5.5166,6.1232,0.0,0.0,0.0074,0.0072,0.0,0.0,112
13,0.5915,0.5927,0.1321,0.1372,2.5717,2.7425,5.5025,6.1057,0.0,0.0,0.0069,0.0065,0.0,0.0,113
14,0.5914,0.5924,0.1321,0.1372,2.5292,2.7146,5.4778,6.1015,0.0,0.0,0.0067,0.0064,0.0,0.0,114
15,0.5912,0.5922,0.1324,0.1372,2.543,2.7157,5.4796,6.0799,0.0,0.0,0.0068,0.0066,0.0,0.0,115
16,0.5911,0.5931,0.132,0.1376,2.5788,2.7163,5.5164,6.082,0.0,0.0,0.0072,0.0069,0.0,0.0,116
17,0.5925,0.5937,0.132,0.1373,2.5693,2.7224,5.5206,6.0579,0.0,0.0,0.0069,0.0066,0.0,0.0,117
18,0.5929,0.5927,0.1313,0.1372,2.5122,2.6774,5.4982,6.0156,0.0,0.0,0.0066,0.0061,0.0,0.0,118
19,0.5932,0.5928,0.1318,0.1371,2.5421,2.6981,5.5042,5.9936,0.0,0.0,0.0074,0.0071,0.0,0.0,119
20,0.5925,0.5942,0.1312,0.137,2.4919,2.663,5.4739,5.9736,0.0,0.0,0.0066,0.0061,0.0,0.0,120
21,0.5932,0.5923,0.1312,0.137,2.429,2.6152,5.4576,5.9333,0.0,0.0,0.0069,0.0069,0.0,0.0,121
22,0.5921,0.5943,0.1313,0.1367,2.4668,2.6471,5.4778,5.9081,0.0,0.0,0.0071,0.0069,0.0,0.0,122
23,0.5933,0.593,0.1316,0.1369,2.4811,2.6719,5.4908,5.891,0.0,0.0,0.0071,0.0071,0.0,0.0,123
24,0.5932,0.5938,0.131,0.137,2.486,2.6794,5.4711,5.811,0.0,0.0,0.0074,0.0074,0.0,0.0,124
25,0.5932,0.5928,0.1307,0.1369,2.4783,2.6278,5.4981,5.7577,0.0,0.0,0.0071,0.0069,0.0,0.0,125
26,0.5947,0.5932,0.1306,0.1367,2.4621,2.6203,5.4934,5.695,0.0,0.0,0.007,0.0069,0.0,0.0,126
27,0.5941,0.5937,0.1308,0.1364,2.4343,2.6141,5.4806,5.6305,0.0,0.0,0.0069,0.0067,0.0,0.0,127
28,0.5954,0.5941,0.1305,0.1367,2.4216,2.6205,5.4652,5.5952,0.0,0.0,0.0071,0.007,0.0,0.0,128
29,0.5948,0.5936,0.1304,0.1369,2.4099,2.5864,5.4814,5.5556,0.0,0.0,0.0069,0.0067,0.0,0.0,129
30,0.5945,0.5947,0.1305,0.1365,2.4221,2.5767,5.4928,5.5214,0.0,0.0,0.007,0.0069,0.0,0.0,130
31,0.5955,0.5948,0.13,0.1366,2.4214,2.5706,5.4871,5.4967,0.0,0.0,0.0072,0.007,0.0,0.0,131
32,0.5954,0.594,0.1304,0.1368,2.4167,2.5661,5.4756,5.4636,0.0,0.0,0.0073,0.0071,0.0,0.0,132
33,0.5956,0.5933,0.1303,0.1367,2.4041,2.5538,5.48,5.4408,0.0,0.0,0.0072,0.007,0.0,0.0,133
34,0.5952,0.5942,0.1302,0.1366,2.3795,2.5812,5.4468,5.4234,0.0,0.0,0.0075,0.0073,0.0,0.0,134
35,0.5956,0.5937,0.1297,0.1363,2.3588,2.5518,5.4342,5.4097,0.0,0.0,0.0073,0.0071,0.0,0.0,135
36,0.5951,0.5943,0.1302,0.1364,2.2855,2.474,5.4138,5.3858,0.0,0.0,0.0062,0.006,0.0,0.0,136
37,0.5956,0.5942,0.1297,0.1365,2.2791,2.4854,5.4235,5.3808,0.0,0.0,0.0073,0.007,0.0,0.0,137
38,0.5958,0.5946,0.1296,0.1367,2.2867,2.4776,5.4268,5.352,0.0,0.0,0.0079,0.0078,0.0,0.0,138
39,0.5963,0.5935,0.1298,0.1364,2.2276,2.4455,5.4087,5.3383,0.0,0.0,0.0061,0.0057,0.0,0.0,139
40,0.5963,0.5949,0.1299,0.1366,2.2365,2.4431,5.3969,5.3384,0.0,0.0,0.0066,0.0063,0.0,0.0,140
41,0.5956,0.594,0.1299,0.1366,2.2535,2.4455,5.4007,5.3173,0.0,0.0,0.007,0.0069,0.0,0.0,141
42,0.5959,0.5937,0.1301,0.1363,2.2799,2.4572,5.4068,5.3163,0.0,0.0,0.0069,0.0068,0.0,0.0,142
43,0.5966,0.5943,0.1303,0.1364,2.2716,2.4478,5.3957,5.2968,0.0,0.0,0.0078,0.0078,0.0,0.0,143
44,0.5957,0.5949,0.1298,0.1361,2.2651,2.4412,5.392,5.2735,0.0,0.0,0.0084,0.0083,0.0,0.0,144
45,0.5956,0.5952,0.1301,0.1362,2.3613,2.5457,5.427,5.2769,0.0,0.0,0.0083,0.0081,0.0,0.0,145
46,0.5957,0.5944,0.1297,0.1368,2.4365,2.6542,5.4195,5.3667,0.0,0.0,0.0077,0.0072,0.0,0.0,146
47,0.5952,0.5942,0.1303,0.1364,2.2911,2.4524,5.3798,5.3282,0.0,0.0,0.0061,0.006,0.0,0.0,147
48,0.5959,0.594,0.13,0.1365,2.2265,2.3946,5.3546,5.2741,0.0,0.0,0.0065,0.0063,0.0,0.0,148
49,0.596,0.5945,0.1297,0.1365,2.2419,2.4137,5.3624,5.2434,0.0,0.0,0.0066,0.0065,0.0,0.0,149
50,0.596,0.5948,0.1299,0.1363,2.2117,2.388,5.3483,5.2465,0.0,0.0,0.007,0.007,0.0,0.0,150
1,0.5963,0.5948,0.1293,0.1363,2.2697,2.4291,5.3594,5.2242,0.0,0.0,0.0077,0.0076,0.0,0.0,151
2,0.5961,0.5941,0.1299,0.1362,2.1922,2.3737,5.315,5.1991,0.0,0.0,0.0068,0.0067,0.0,0.0,152
